epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1365.28,0.51103,2.84833,1.17174,0.00497,0.05076,0.01377,0.011,1.00782,3.35822,1.46782,1.12284e-05,1.12284e-05,1.12284e-05
40,1400.3,0.50254,2.85025,1.16553,0.00628,0.04376,0.01018,0.00781,1.02426,3.3453,1.49098,1.10502e-05,1.10502e-05,1.10502e-05
41,1435.01,0.50079,2.82993,1.16211,0.00511,0.03283,0.00842,0.00604,1.01842,3.33331,1.48794,1.0872e-05,1.0872e-05,1.0872e-05
42,1469.3,0.49971,2.80571,1.15907,0.00541,0.04553,0.0106,0.00827,1.02904,3.33693,1.48797,1.06938e-05,1.06938e-05,1.06938e-05
43,1503.31,0.49549,2.81462,1.1588,0.00469,0.04499,0.01048,0.007,1.024,3.3009,1.48099,1.05156e-05,1.05156e-05,1.05156e-05
44,1540.24,0.50103,2.77551,1.15796,0.00479,0.05251,0.01244,0.00928,1.0152,3.29404,1.47771,1.03374e-05,1.03374e-05,1.03374e-05
45,1574.06,0.4925,2.77817,1.15358,0.00515,0.05028,0.0122,0.00825,1.01694,3.27467,1.48132,1.01592e-05,1.01592e-05,1.01592e-05
46,1607.92,0.49185,2.75425,1.15532,0.00519,0.05088,0.01528,0.01112,1.01981,3.27476,1.46866,9.981e-06,9.981e-06,9.981e-06
47,1642.2,0.49198,2.77816,1.15462,0.00537,0.0503,0.01353,0.01009,1.02699,3.26955,1.4837,9.8028e-06,9.8028e-06,9.8028e-06
48,1676.17,0.48281,2.75189,1.15161,0.00598,0.05262,0.0127,0.0096,1.03597,3.27573,1.48817,9.6246e-06,9.6246e-06,9.6246e-06
49,1712.6,0.49141,2.73434,1.15352,0.00537,0.04842,0.0108,0.00806,1.02799,3.28674,1.48855,9.4464e-06,9.4464e-06,9.4464e-06
50,1746.67,0.49017,2.72296,1.15316,0.00639,0.05381,0.01491,0.01125,1.0299,3.26532,1.48697,9.2682e-06,9.2682e-06,9.2682e-06
51,1781.79,0.48859,2.69056,1.14739,0.00625,0.05836,0.01439,0.01036,1.02555,3.25362,1.48057,9.09e-06,9.09e-06,9.09e-06
